Comment,Designator,Footprint,LCSC Part #
1M,R8,R0402,
1TS003B-1600-3500A,DOWN PUSH RESET UP,1TS003B16003500A,
1k,R5,R0402,
1uF,C7,C0603,
1uF,C29 C30 C31,C0402,
1uF/25V,C9 C10 C11 C16,C0402,
2.2R,R9,R0402,
4.7k,R13 R14,R0603,
4.7uF,C5,C0603,C99229
4.7uF/25V,C3 C8 C12 C13 C14 C15,C0402,
4.7uF/25V,C20,C0603,
5.1k,R15 R16,R0402,
10k,R1 R2 R3 R11 R18 R19 R20 R22,R0402,
10uF/25V,C21,C0603,
22uF,C4 C22 C23 C24 C25 C26,C0603,
47uF,C2,C0603,C178330
47uH/1A,L1,SMNR4020,C467067
100k,R12 R23,R0402,
100n,C27 C28,C0402,
100nF,C1,C0603,
100nF,C6 C17,C0402,
100nF,C18,C0603,
100nF,C19,C0402,
330,R10,R0402,
AO3400A,Q4,SOT23-3,C20917
AO3401,Q5 Q7,SOT23,
AP2191WG-7,IC7,SOT25,C141321
BAT60B,D1 D2 D3,SOD323-R,
CH9102F,IC3,QFN24-4X4,
ESP32-S3-WROOM-1-N16,IC1,ESP32S3WROOM1N16,
GDEQ0426T82,U$4,GDEQ0426T82,
HT7833,LDO,SOT23-5,C164106
JST-PH-2/90SMD,BATTERY,S2B-PH-SM4,C47647
JST-SH-4_RA,J2,1X04_1MM_RA,C145956
JST-SH-4_VERT,J3,1X04_1MM_RA,C145956
LESD5D5.0CT1G,D7 D8 D9,LESD5D50CT1G,
MAX17048,U2,TDFN-8,C2682616
MBR0530,D4 D5 D6,SOD123-F,
ME6211C33M5G,IC2,SOT23-5,
MICRO_SD,SD_CARD,MICRO_SD,C91145
MMDT3904,Q1,SC70-6,C268586
POLIFUSE0500805L,F1 F2,0805L,
RED,CHRG,CHIP-LED0603,C2286
SHT40,SHT40,SHT40,
SMF05C,IC4,SOT65P210X110-6N,C558425
SSSS811101,SW1,SSSS811101,
TP4054,U1,SOT-23-5,C32574
USB-C_2-16PIN,J4,USBC_USB-C-16P-5,C2837092
USUP_SPI_CONNECTOR,J5,1X06_1MM_RA,
1x15P,JP1,1x15P,C5142248
