Designator,Mid X,Mid Y,Layer,Rotation
BATTERY, 0.56,46.77,Top,0.0
C1,-24.05,24.89,Top,270.0
C2,-21.97,24.92,Top,270.0
C3, 4.57,24.77,Top,270.0
C4,-12.52,22.86,Top,90.0
C5,-17.65,22.99,Top,270.0
C6,-29.26,18.07,Top,180.0
C7,-20.64,17.14,Top,0.0
C8, 3.43,24.77,Top,270.0
C9,-0.38,24.77,Top,270.0
C10,-1.40,24.77,Top,270.0
C11,-2.41,24.77,Top,270.0
C12,-3.43,24.77,Top,270.0
C13,-4.45,24.77,Top,270.0
C14,-5.46,24.77,Top,270.0
C15,-6.48,24.77,Top,270.0
C16,-7.49,24.77,Top,270.0
C17,11.61,38.53,Top,180.0
C18,-1.78,34.86,Top,90.0
C19,27.30, 6.76,Top,180.0
C20,12.38,27.75,Top,180.0
C21,15.82,21.13,Top,0.0
C22, 7.24,27.56,Top,270.0
C23,-19.69,22.99,Top,270.0
C24, 7.75,34.47,Top,180.0
C25, 4.71,35.27,Top,270.0
C26,-12.89, 4.64,Top,180.0
C27,-9.87, 4.60,Top,0.0
C28,-13.51, 7.16,Top,180.0
CHRG,-17.91, 4.45,Top,0.0
D1,-24.77,17.78,Top,180.0
D2,-24.77,15.88,Top,180.0
D3,-13.30,14.77,Top,270.0
D4,11.43,24.26,Top,90.0
D5, 9.53,24.26,Top,270.0
D6,13.34,24.26,Top,90.0
D7,-15.37, 6.73,Top,270.0
D8,-15.37, 8.76,Top,90.0
D9,-24.77,11.56,Top,0.0
DOWN,-31.12,79.06,Top,90.0
F1, 5.21,27.56,Top,270.0
F2,-10.52,22.81,Top,270.0
IC1,-19.05,36.83,Top,90.0
IC2, 7.62,37.78,Top,90.0
IC3,-9.55, 8.41,Top,0.0
IC4,11.91,34.75,Top,180.0
IC7, 7.62,31.12,Top,180.0
J2,10.22,43.31,Top,0.0
J3,29.46,63.50,Top,270.0
J4,-23.50, 9.21,Top,0.0
J5,29.46,53.98,Top,270.0
JP1,25.45,87.63,Top,90.0
L1,16.83,24.57,Top,180.0
LDO,-14.92,22.48,Top,90.0
PUSH,-31.12,85.09,Top,90.0
Q1,-9.53,13.97,Top,180.0
Q4,16.83,29.34,Top,180.0
Q5,-16.19,15.56,Top,90.0
Q7,-11.43,18.73,Top,0.0
R1,-7.30,13.97,Top,90.0
R2,-29.26,19.34,Top,180.0
R3,-11.43,13.97,Top,270.0
R5,-24.77,13.02,Top,0.0
R8,12.07,30.29,Top,270.0
R9,10.16,30.29,Top,270.0
R10,-17.14, 9.65,Top,270.0
R11,-14.92,12.70,Top,180.0
R12,-17.14,12.70,Top,180.0
R13,-22.23,48.90,Top,90.0
R14,-20.19,48.90,Top,90.0
R15,-29.85, 6.99,Top,270.0
R16,-29.85, 4.45,Top,90.0
R17,-3.81,34.86,Top,90.0
R18,-26.29,93.66,Top,270.0
R19,-26.29,81.28,Top,270.0
R20,-26.29,87.38,Top,270.0
R22,-14.86,25.40,Top,90.0
R23,-14.92,18.29,Top,0.0
RESET,-31.12,14.29,Top,90.0
SD_CARD,16.54,41.71,Top,90.0
SHT40,27.30, 4.83,Top,90.0
SW1,-30.00,60.53,Top,270.0
U$4, 0.00, 5.08,Top,0.0
U1,-20.64,13.97,Top,180.0
U2, 1.21,34.93,Top,270.0
UP,-31.12,91.44,Top,90.0
